ref,weight
"callsign_02_col",15.000000
"callsign_08_col",15.000000
"callsign_10_col",15.000000
"callsign_12_col",15.000000
"callsign_17_col",15.000000
"callsign_20_col",15.000000
"callsign_25_col",15.000000
"callsign_28_col",15.000000
"callsign_32_col",15.000000
"callsign_43_col",15.000000
"callsign_44_col",15.000000
"callsign_49_col",15.000000
"callsign_50_col",15.000000
"callsign_52_col",15.000000
"callsign_54_col",15.000000
"callsign_56_col",15.000000
"callsign_58_col",15.000000
"callsign_60_col",15.000000
"callsign_61_col",15.000000
"callsign_62_col",15.000000
"callsign_63_col",15.000000
"callsign_64_col",15.000000
"callsign_71_col",15.000000
"callsign_72_col",15.000000
"callsign_73_col",15.000000
"callsign_74_col",15.000000
"callsign_77_col",15.000000
"callsign_80_col",15.000000
"callsign_81_col",15.000000
"callsign_82_col",15.000000
"callsign_83_col",15.000000
"callsign_84_col",15.000000
"callsign_85_col",15.000000
"callsign_86_col",15.000000
"callsign_87_col",15.000000
"callsign_88_col",15.000000
"callsign_89_col",15.000000
"callsign_90_col",15.000000
"callsign_91_col",15.000000
"callsign_93_col",15.000000
"callsign_95_col",15.000000
"callsign_98_col",15.000000
"callsign_101_col",15.000000
"callsign_102_col",15.000000
"callsign_02_col_prism",3.000000
"callsign_08_col_prism",3.000000
"callsign_10_col_prism",3.000000
"callsign_12_col_prism",3.000000
"callsign_17_col_prism",3.000000
"callsign_20_col_prism",3.000000
"callsign_25_col_prism",3.000000
"callsign_28_col_prism",3.000000
"callsign_32_col_prism",3.000000
"callsign_43_col_prism",3.000000
"callsign_44_col_prism",3.000000
"callsign_49_col_prism",3.000000
"callsign_50_col_prism",3.000000
"callsign_52_col_prism",3.000000
"callsign_54_col_prism",3.000000
"callsign_56_col_prism",3.000000
"callsign_58_col_prism",3.000000
"callsign_60_col_prism",3.000000
"callsign_61_col_prism",3.000000
"callsign_62_col_prism",3.000000
"callsign_63_col_prism",3.000000
"callsign_64_col_prism",3.000000
"callsign_71_col_prism",3.000000
"callsign_72_col_prism",3.000000
"callsign_73_col_prism",3.000000
"callsign_74_col_prism",3.000000
"callsign_77_col_prism",3.000000
"callsign_80_col_prism",3.000000
"callsign_81_col_prism",3.000000
"callsign_82_col_prism",3.000000
"callsign_83_col_prism",3.000000
"callsign_84_col_prism",3.000000
"callsign_85_col_prism",3.000000
"callsign_86_col_prism",3.000000
"callsign_87_col_prism",3.000000
"callsign_88_col_prism",3.000000
"callsign_89_col_prism",3.000000
"callsign_90_col_prism",3.000000
"callsign_91_col_prism",3.000000
"callsign_93_col_prism",3.000000
"callsign_95_col_prism",3.000000
"callsign_98_col_prism",3.000000
"callsign_101_col_prism",3.000000
"callsign_102_col_prism",3.000000
"execution_backshot",3.000000
"execution_combo",3.000000
"execution_knockout",3.000000
"credit_award",50.000000
"coliseum_ticket",35.000000
"northstar.northstar_nose_art_12",5.000000
"northstar.northstar_nose_art_13",5.000000
"ronin.ronin_nose_art_08",5.000000
"ronin.ronin_nose_art_12",5.000000
"tone.tone_nose_art_11",5.000000
"tone.tone_nose_art_12",5.000000
"scorch.scorch_nose_art_12",5.000000
"legion.legion_nose_art_12",5.000000
"legion.legion_nose_art_14",5.000000
"camo_skin04",5.000000
"camo_skin05",5.000000
"camo_skin06",5.000000
"camo_skin11",5.000000
"camo_skin12",5.000000
"camo_skin20",5.000000
"camo_skin21",5.000000
"camo_skin22",5.000000
"camo_skin23",5.000000
"camo_skin28",5.000000
"camo_skin29",5.000000
"camo_skin32",5.000000
"camo_skin33",5.000000
"camo_skin34",5.000000
"camo_skin35",5.000000
"camo_skin36",5.000000
"camo_skin37",5.000000
"camo_skin38",5.000000
"camo_skin39",5.000000
"camo_skin40",5.000000
"camo_skin41",5.000000
"camo_skin42",5.000000
"camo_skin43",5.000000
"camo_skin44",5.000000
"camo_skin45",5.000000
"camo_skin46",5.000000
"camo_skin47",5.000000
"camo_skin48",5.000000
"camo_skin49",5.000000
"camo_skin50",5.000000
"camo_skin51",5.000000
"camo_skin52",5.000000
"camo_skin53",5.000000
"camo_skin54",5.000000
"camo_skin68",5.000000
"camo_skin69",5.000000
"camo_skin70",5.000000
"camo_skin71",5.000000
"camo_skin72",5.000000
"camo_skin73",5.000000
"camo_skin74",5.000000
"camo_skin75",5.000000
"camo_skin76",5.000000
"camo_skin77",5.000000
"camo_skin78",5.000000
"camo_skin79",5.000000
"camo_skin80",5.000000
"camo_skin84",5.000000
"camo_skin86",5.000000
"camo_skin88",5.000000
"camo_skin89",5.000000
"camo_skin90",5.000000
"camo_skin95",5.000000
"camo_skin96",5.000000
"camo_skin98",5.000000
"camo_skin99",5.000000
"pilot_camo_skin04",10.000000
"pilot_camo_skin05",10.000000
"pilot_camo_skin06",10.000000
"pilot_camo_skin11",10.000000
"pilot_camo_skin12",10.000000
"pilot_camo_skin20",10.000000
"pilot_camo_skin21",10.000000
"pilot_camo_skin22",10.000000
"pilot_camo_skin23",10.000000
"pilot_camo_skin28",10.000000
"pilot_camo_skin29",10.000000
"pilot_camo_skin32",10.000000
"pilot_camo_skin33",10.000000
"pilot_camo_skin34",10.000000
"pilot_camo_skin35",10.000000
"pilot_camo_skin36",10.000000
"pilot_camo_skin37",10.000000
"pilot_camo_skin38",10.000000
"pilot_camo_skin39",10.000000
"pilot_camo_skin40",10.000000
"pilot_camo_skin41",10.000000
"pilot_camo_skin42",10.000000
"pilot_camo_skin43",10.000000
"pilot_camo_skin44",10.000000
"pilot_camo_skin45",10.000000
"pilot_camo_skin46",10.000000
"pilot_camo_skin47",10.000000
"pilot_camo_skin48",10.000000
"pilot_camo_skin49",10.000000
"pilot_camo_skin50",10.000000
"pilot_camo_skin51",10.000000
"pilot_camo_skin52",10.000000
"pilot_camo_skin53",10.000000
"pilot_camo_skin54",10.000000
"pilot_camo_skin68",10.000000
"pilot_camo_skin69",10.000000
"pilot_camo_skin70",10.000000
"pilot_camo_skin71",10.000000
"pilot_camo_skin72",10.000000
"pilot_camo_skin73",10.000000
"pilot_camo_skin74",10.000000
"pilot_camo_skin75",10.000000
"pilot_camo_skin76",10.000000
"pilot_camo_skin77",10.000000
"pilot_camo_skin78",10.000000
"pilot_camo_skin79",10.000000
"pilot_camo_skin80",10.000000
"pilot_camo_skin84",10.000000
"pilot_camo_skin86",10.000000
"pilot_camo_skin88",10.000000
"pilot_camo_skin89",10.000000
"pilot_camo_skin90",10.000000
"pilot_camo_skin95",10.000000
"pilot_camo_skin96",10.000000
"pilot_camo_skin98",10.000000
"pilot_camo_skin99",10.000000
"titan_camo_skin04",10.000000
"titan_camo_skin05",10.000000
"titan_camo_skin06",10.000000
"titan_camo_skin11",10.000000
"titan_camo_skin12",10.000000
"titan_camo_skin20",10.000000
"titan_camo_skin21",10.000000
"titan_camo_skin22",10.000000
"titan_camo_skin23",10.000000
"titan_camo_skin28",10.000000
"titan_camo_skin29",10.000000
"titan_camo_skin32",10.000000
"titan_camo_skin33",10.000000
"titan_camo_skin34",10.000000
"titan_camo_skin35",10.000000
"titan_camo_skin36",10.000000
"titan_camo_skin37",10.000000
"titan_camo_skin38",10.000000
"titan_camo_skin39",10.000000
"titan_camo_skin40",10.000000
"titan_camo_skin41",10.000000
"titan_camo_skin42",10.000000
