conversationname,priority,debounce
"bc_pReload",500,45.000000
"bc_pHardcover",500,10.000000
"bc_pPulse",500,10.000000
"bc_pGrapple",500,10.000000
"bc_pHolo",500,10.000000
"bc_pCloak",500,10.000000
"bc_pAmp",500,10.000000
"bc_pStim",500,10.000000
"bc_pPhase",500,10.000000
"bc_pFrag",500,10.000000
"bc_pSmoke",500,10.000000
"bc_pArc",500,10.000000
"bc_pGrav",500,10.000000
"bc_pSatchel",500,10.000000
"bc_pFirestar",500,10.000000
"bc_pGravStar",500,10.000000
"bc_pAmpedWall",500,10.000000
"bc_fKilledEnemy",500,10.000000
"bc_pPulseBladeSpotEnemy",500,10.000000
"bc_fNearEnemyDmg",500,10.000000
"bc_fCongratsKill",500,10.000000
"bc_pBatteryOffer",500,5.000000
"bc_pIntroChat",500,5.000000
