category,key,locString
"categories","gaming","#COMMUNITY_CATEGORY_GAMING"
"categories","lifestyle","#COMMUNITY_CATEGORY_LIFESTYLE"
"categories","geography","#COMMUNITY_CATEGORY_GEOGRAPHY"
"categories","tech","#COMMUNITY_CATEGORY_TECH"
"categories","other","#COMMUNITY_CATEGORY_OTHER"
"regions","North America","#COMMUNITY_REGION_NORTHAMERICA"
"regions","Europe","#COMMUNITY_REGION_EUROPE"
"regions","South America","#COMMUNITY_REGION_SOUTHAMERICA"
"regions","Asia","#COMMUNITY_REGION_ASIA"
"regions","Oceania","#COMMUNITY_REGION_AUSTRALIA"
"languages","English","#COMMUNITY_LANGUAGE_ENGLISH"
"languages","French","#COMMUNITY_LANGUAGE_FRENCH"
"languages","Italian","#COMMUNITY_LANGUAGE_ITALIAN"
"languages","German","#COMMUNITY_LANGUAGE_GERMAN"
"languages","Spanish","#COMMUNITY_LANGUAGE_SPANISH"
"languages","MSpanish","#COMMUNITY_LANGUAGE_MSPANISH"
"languages","Japanese","#COMMUNITY_LANGUAGE_JAPANESE"
"languages","TChinese","#COMMUNITY_LANGUAGE_TCHINESE"
"languages","Russian","#COMMUNITY_LANGUAGE_RUSSIAN"
"languages","Portuguese","#COMMUNITY_LANGUAGE_PORTUGUESE"
"languages","Polish","#COMMUNITY_LANGUAGE_POLISH"
