source,className,locString,mapName,gameMode
"titan_class","ion","#DEATH_HINT_ION_001","",""
"titan_class","ion","#DEATH_HINT_ION_002","",""
"titan_class","ion","#DEATH_HINT_ION_003","",""
"titan_class","ion","#DEATH_HINT_ION_004","",""
"titan_class","ion","#DEATH_HINT_ION_005","",""
"titan_class","ion","#DEATH_HINT_ION_006","",""
"titan_class","legion","#DEATH_HINT_LEGION_001","",""
"titan_class","legion","#DEATH_HINT_LEGION_002","",""
"titan_class","legion","#DEATH_HINT_LEGION_003","",""
"titan_class","legion","#DEATH_HINT_LEGION_004","",""
"titan_class","legion","#DEATH_HINT_LEGION_005","",""
"titan_class","legion","#DEATH_HINT_LEGION_006","",""
"titan_class","northstar","#DEATH_HINT_NORTHSTAR_001","",""
"titan_class","northstar","#DEATH_HINT_NORTHSTAR_002","",""
"titan_class","northstar","#DEATH_HINT_NORTHSTAR_003","",""
"titan_class","northstar","#DEATH_HINT_NORTHSTAR_004","",""
"titan_class","northstar","#DEATH_HINT_NORTHSTAR_005","",""
"titan_class","northstar","#DEATH_HINT_NORTHSTAR_006","",""
"titan_class","ronin","#DEATH_HINT_RONIN_001","",""
"titan_class","ronin","#DEATH_HINT_RONIN_002","",""
"titan_class","ronin","#DEATH_HINT_RONIN_003","",""
"titan_class","ronin","#DEATH_HINT_RONIN_004","",""
"titan_class","ronin","#DEATH_HINT_RONIN_005","",""
"titan_class","ronin","#DEATH_HINT_RONIN_006","",""
"titan_class","ronin","#DEATH_HINT_RONIN_007","",""
"titan_class","ronin","#DEATH_HINT_RONIN_008","",""
"titan_class","ronin","#DEATH_HINT_RONIN_009","",""
"titan_class","scorch","#DEATH_HINT_SCORCH_001","",""
"titan_class","scorch","#DEATH_HINT_SCORCH_002","",""
"titan_class","scorch","#DEATH_HINT_SCORCH_003","",""
"titan_class","scorch","#DEATH_HINT_SCORCH_004","",""
"titan_class","scorch","#DEATH_HINT_SCORCH_005","",""
"titan_class","scorch","#DEATH_HINT_SCORCH_006","",""
"titan_class","tone","#DEATH_HINT_TONE_001","",""
"titan_class","tone","#DEATH_HINT_TONE_002","",""
"titan_class","tone","#DEATH_HINT_TONE_003","",""
"titan_class","tone","#DEATH_HINT_TONE_004","",""
"titan_class","tone","#DEATH_HINT_TONE_005","",""
"titan_class","tone","#DEATH_HINT_TONE_006","",""
"weapon","mp_ability_cloak","#DEATH_HINT_CLOAK_001","",""
"weapon","mp_ability_cloak","#DEATH_HINT_CLOAK_002","",""
"weapon","mp_ability_cloak","#DEATH_HINT_CLOAK_003","",""
"weapon","mp_ability_grapple","#DEATH_HINT_GRAPPLE_001","",""
"weapon","mp_ability_heal","#DEATH_HINT_STIM_001","",""
"weapon","mp_ability_heal","#DEATH_HINT_STIM_002","",""
"weapon","mp_ability_heal","#DEATH_HINT_STIM_003","",""
"weapon","mp_ability_holopilot","#DEATH_HINT_HOLOPILOT_001","",""
"weapon","mp_ability_holopilot","#DEATH_HINT_HOLOPILOT_002","",""
"weapon","mp_ability_holopilot","#DEATH_HINT_HOLOPILOT_003","",""
"weapon","mp_ability_holopilot","#DEATH_HINT_HOLOPILOT_004","",""
"weapon","mp_ability_holopilot","#DEATH_HINT_HOLOPILOT_005","",""
"weapon","mp_ability_holopilot","#DEATH_HINT_HOLOPILOT_006","",""
"weapon","mp_ability_phase_rewind","#DEATH_HINT_PHASE_REWIND_001","",""
"weapon","mp_ability_shifter","#DEATH_HINT_PHASESHIFT_001","",""
"weapon","mp_ability_shifter","#DEATH_HINT_PHASESHIFT_002","",""
"weapon","mp_ability_shifter","#DEATH_HINT_PHASESHIFT_003","",""
"weapon","mp_ability_shifter","#DEATH_HINT_PHASESHIFT_004","",""
"weapon","mp_ability_shifter","#DEATH_HINT_PHASESHIFT_005","",""
"weapon","mp_ability_shifter","#DEATH_HINT_PHASESHIFT_006","",""
"weapon","mp_ability_shifter","#DEATH_HINT_PHASESHIFT_007","",""
"weapon","mp_ability_shifter","#DEATH_HINT_PHASESHIFT_008","",""
"weapon","mp_ability_sonar","#DEATH_HINT_SONAR_001","",""
"weapon","mp_titanability_ammo_swap","#DEATH_HINT_AMMO_SWAP_001_MP","",""
"weapon","mp_titanability_basic_block","#DEATH_HINT_SWORD_BLOCK_001_MP","",""
"weapon","mp_titanability_gun_shield","#DEATH_HINT_GUN_SHIELD_001_MP","",""
"weapon","mp_titanability_hover","#DEATH_HINT_TITAN_HOVER_001","",""
"weapon","mp_titanability_laser_trip","#DEATH_HINT_LASER_TRIPWIRE_001","",""
"weapon","mp_titanability_particle_wall","#DEATH_HINT_PARTICLE_WALL_001_MP","",""
"weapon","mp_titanability_particle_wall","#DEATH_HINT_PARTICLE_WALL_002_MP","",""
"weapon","mp_titanability_particle_wall","#DEATH_HINT_PARTICLE_WALL_003_MP","",""
"weapon","mp_titanability_phase_dash","#DEATH_HINT_PHASE_DASH_001_MP","",""
"weapon","mp_titanability_phase_dash","#DEATH_HINT_PHASE_DASH_002_MP","",""
"weapon","mp_titanability_power_shot","#DEATH_HINT_POWER_SHOT_001_MP","",""
"weapon","mp_titanability_power_shot","#DEATH_HINT_POWER_SHOT_002_MP","",""
"weapon","mp_titanability_slow_trap","#DEATH_HINT_INCENDIARY_TRAP_001","",""
