conversationname,priority,debounce,disabledForFaction,inheritedDebounceConversations
"scoring_won",3000,10.000000,"",""
"scoring_lost",3000,10.000000,"",""
"scoring_tied",3000,10.000000,"",""
"scoring_wonClose",3000,10.000000,"",""
"scoring_lostClose",3000,10.000000,"",""
"scoring_winning",3000,10.000000,"faction_marvin",""
"scoring_losing",3000,10.000000,"faction_marvin",""
"scoring_winningClose",3000,10.000000,"faction_marvin",""
"scoring_losingClose",3000,10.000000,"faction_marvin",""
"scoring_winningLarge",3000,10.000000,"faction_marvin",""
"scoring_losingLarge",3000,10.000000,"faction_marvin",""
"scoring_lostMercy",3000,10.000000,"",""
"scoring_wonMercy",3000,10.000000,"",""
"fortwar_matchLoss",3000,10.000000,"",""
"scoring_flavor",1500,10.000000,"",""
"scoring_gotMailAlert",1500,10.000000,"",""
"amphp_modeName",1500,10.000000,"",""
"mtitan_modeName",1500,10.000000,"",""
"ffa_modeName",2500,10.000000,"",""
"freea_modeName",2500,10.000000,"",""
"at_modeName",2500,10.000000,"",""
"hp_modeName",2500,10.000000,"",""
"cp_modeName",2500,10.000000,"",""
"phunt_modeName",2500,10.000000,"",""
"fortwar_modeName",2500,10.000000,"",""
"tw_modeName",2500,10.000000,"",""
"ctf_modeName",2500,10.000000,"",""
"bh_modeName",2500,10.000000,"",""
"front_modeName",2500,10.000000,"",""
"frontdef_modeName",2500,10.000000,"",""
"frontatk_modeName",2500,10.000000,"",""
"lts_modeName",2500,10.000000,"",""
"mfd_modeName",2500,10.000000,"",""
"tmfd_modeName",2500,10.000000,"",""
"extract_modeName",2500,10.000000,"",""
"mw_modeName",2500,10.000000,"",""
"pvp_modeName",2500,10.000000,"",""
"raid_modeName",2500,10.000000,"",""
"aslt_modeName",2500,10.000000,"",""
"gnrc_modeDesc",2500,10.000000,"",""
"ffa_modeDesc",2500,10.000000,"",""
"ctf_modeDesc",2500,10.000000,"",""
"lts_modeDesc",2500,10.000000,"",""
"mfd_modeDesc",2500,10.000000,"",""
"ltsd_modeDesc",2500,10.000000,"",""
"ltsa_modeDesc",2500,10.000000,"",""
"hp_modeDesc",2500,10.000000,"",""
"mtitan_modeDesc",2500,10.000000,"",""
"pvp_modeDesc",2500,10.000000,"",""
"phunt_modeDesc",2500,10.000000,"",""
"freea_modeDesc",2500,10.000000,"",""
"grnc_modeDesc",2500,10.000000,"",""
"mp_titanReady",1200,30.000000,"",""
"mp_titanSoon",1200,45.000000,"faction_marvin",""
"mp_titanInbound",1200,10.000000,"",""
"mp_titanEmergency",1200,10.000000,"faction_marvin",""
"mp_evacGo",1500,10.000000,"faction_marvin",""
"mp_evacStop",1500,10.000000,"faction_marvin",""
"mp_evacGoNag",1500,10.000000,"faction_marvin",""
"mp_evacStopNag",1500,10.000000,"faction_marvin",""
"mp_halftime",1500,10.000000,"",""
"mp_sideSwitching",1500,10.000000,"",""
"bh_modeDesc",1500,10.000000,"",""
"bh_incoming",1500,10.000000,"",""
"bh_collect",1500,10.000000,"faction_marvin",""
"bh_decrypt",1500,10.000000,"faction_marvin",""
"bh_collectSuccess",1500,10.000000,"faction_marvin",""
"bh_collectFail",1500,10.000000,"faction_marvin",""
"bh_mvp",1500,10.000000,"faction_marvin",""
"bh_clearedA",1500,10.000000,"",""
"bh_clearedB",1500,10.000000,"",""
"bh_clearedC",1500,10.000000,"",""
"bh_newWave",1500,10.000000,"",""
"bh_bountyClaimedByEnemy",1500,10.000000,"",""
"bh_bountyClaimedByFriendly",1500,10.000000,"",""
"bh_playerKilledBounty",1500,10.000000,"faction_marvin",""
"lts_atk60",1500,10.000000,"faction_marvin",""
"lts_atk30",1500,10.000000,"faction_marvin",""
"lts_def60",1500,10.000000,"faction_marvin",""
"lts_def30",1500,10.000000,"faction_marvin",""
"lts_bombDown",1500,10.000000,"faction_marvin",""
"lts_bombDownAtk",1500,10.000000,"faction_marvin",""
"lts_bombDownDef",1500,10.000000,"faction_marvin",""
"lts_bombPickup",1500,10.000000,"faction_marvin",""
"lts_bombPlanted",1500,10.000000,"faction_marvin",""
"lts_bombDefusedAtk",1500,10.000000,"faction_marvin",""
"lts_bombDefusedDef",1500,10.000000,"faction_marvin",""
"lts_bombPlantedAtk",1500,10.000000,"faction_marvin",""
"lts_bombPlantedDef",1500,10.000000,"faction_marvin",""
"fortwar_turretDeployFriendly",1500,10.000000,"faction_marvin",""
"fortwar_turretDestroyedFriendly",1500,10.000000,"faction_marvin",""
"fortwar_baseShieldDownFriendly",1500,10.000000,"faction_marvin",""
"fortwar_baseShieldDownEnemy",1500,10.000000,"faction_marvin",""
"fortwar_baseShieldUpFriendly",1500,10.000000,"faction_marvin",""
"fortwar_baseDmgFriendly",1500,10.000000,"faction_marvin",""
"fortwar_baseDmgFriendly75",1500,10.000000,"faction_marvin",""
"fortwar_baseDmgFriendly50",1500,10.000000,"faction_marvin",""
