itemRef,type,damageSource,hidden
"mp_titancore_flame_wave","TITAN_CORE_ABILITY",1,0
"mp_titancore_flight_core","TITAN_CORE_ABILITY",0,0
"mp_titancore_laser_cannon","TITAN_CORE_ABILITY",1,0
"mp_titancore_salvo_core","TITAN_CORE_ABILITY",1,0
"mp_titancore_shift_core","TITAN_CORE_ABILITY",0,0
"mp_titancore_siege_mode","TITAN_CORE_ABILITY",0,0
"mp_titancore_amp_core","TITAN_CORE_ABILITY",0,0
"mp_titancore_dash_core","TITAN_CORE_ABILITY",0,0
"mp_titanweapon_arc_wave","TITAN_ORDNANCE",1,0
"mp_titanweapon_dumbfire_rockets","TITAN_ORDNANCE",1,0
"mp_titanweapon_flame_wall","TITAN_ORDNANCE",1,0
"mp_titanweapon_homing_rockets","TITAN_ORDNANCE",1,0
"mp_titanweapon_laser_lite","TITAN_ORDNANCE",1,0
"mp_titanweapon_salvo_rockets","TITAN_ORDNANCE",1,0
"mp_titanweapon_shoulder_rockets","TITAN_ORDNANCE",1,0
"mp_titanweapon_tracker_rockets","TITAN_ORDNANCE",1,0
"mp_titanability_power_shot","TITAN_ORDNANCE",1,0
"mp_titanability_tether_trap","TITAN_ORDNANCE",0,0
"mp_titanability_basic_block","TITAN_SPECIAL",0,0
"mp_titanability_particle_wall","TITAN_SPECIAL",0,0
"mp_titanweapon_vortex_shield","TITAN_SPECIAL",1,0
"mp_titanweapon_vortex_shield_ion","TITAN_SPECIAL",1,0
"mp_titanweapon_heat_shield","TITAN_SPECIAL",1,0
"mp_titanability_gun_shield","TITAN_SPECIAL",1,0
"mp_titanability_smoke","TITAN_SPECIAL",0,0
"mp_titanability_hover","TITAN_ANTIRODEO",0,0
"mp_titanability_phase_dash","TITAN_ANTIRODEO",0,0
"mp_titanability_laser_trip","TITAN_ANTIRODEO",0,0
"mp_titanability_slow_trap","TITAN_ANTIRODEO",0,0
"mp_titanability_ammo_swap","TITAN_ANTIRODEO",1,0
"mp_titanability_sonar_pulse","TITAN_ANTIRODEO",1,0
"mp_titanability_rocketeer_ammo_swap","TITAN_ANTIRODEO",0,0
"mp_titanweapon_stun_laser","TITAN_SPECIAL",1,0
"mp_titanability_rearm","TITAN_ANTIRODEO",1,0
"mp_titancore_upgrade","TITAN_CORE_ABILITY",0,0
