conversationname,priority,debounce
"bettyAlarm",400,0.100000
"warning",400,3.000000
"caution",400,3.000000
"multiTitanEngage",400,15.000000
"outnumbered2to1",400,15.000000
"outnumbered3to1",400,15.000000
"outnumbered4to1",400,15.000000
"embark",400,3.000000
"disembark",400,3.000000
"guard",2000,3.000000
"follow",2000,3.000000
"briefCriticalDamage",400,10.000000
"manualEjectNotice",400,0.100000
"autoEjectNotice",400,0.100000
"doomState",400,0.100000
"halfDoomState",400,0.100000
"rodeoWarning",2000,3.000000
"allyRodeoAttach",400,3.000000
"allyRodeoDetach",400,3.000000
"killEnemyRodeo",400,10.000000
"warningEnemyPilot",400,10.000000
"warningEnemyPilotMulti",400,10.000000
"elimTarget",400,3.000000
"elimEnemyPilot",400,3.000000
"ejectedEnemy",400,3.000000
"ejectedFriendly",400,3.000000
"assistedByFriendlyTitan",400,10.000000
"elimEnemyTitan",400,3.000000
"elimFriendlyTitan",400,3.000000
"assistedByFriendlyPilot",400,3.000000
"hostileTitanInbound",2000,3.000000
"friendlyRodeoOnEnemyTitan",400,3.000000
"autoEngageGrunt",400,10.000000
"autoEngagePilot",400,10.000000
"autoEngageTitan",400,10.000000
"autoEngageTitans",400,10.000000
"killEnemyRodeoGnrc",400,10.000000
"batteryGot",400,3.000000
"predRangeLong",400,3.000000
"predRangeShort",400,3.000000
"smartCoreOnline",400,3.000000
"smartCoreActivated",400,3.000000
"smartCoreOffline",400,3.000000
"flamewavecoreOnline",400,3.000000
"flamewavecoreActivated",400,3.000000
"hack_bt_workaround",400,3.000000
"lasercoreOnline",400,3.000000
"lasercoreActivated",400,3.000000
"sonarPulse",400,3.000000
"flightCoreOnline",400,3.000000
"flightCoreActivated",400,3.000000
"flightCoreOffline",400,3.000000
"SalvocoreOnline",400,3.000000
"SalvocoreActivated",400,3.000000
"swordCoreOnline",400,3.000000
"swordCoreActivated",400,3.000000
"swordCoreOffline",400,3.000000
"burstCoreOnline",400,3.000000
"burstCoreActivated",400,3.000000
"UpgradecoreOnline",400,3.000000
"UpgradecoreActivated",400,3.000000
"upgradeTo1",400,3.000000
"upgradeTo2",400,3.000000
"upgradeTo3",400,3.000000
"upgradeToFin",400,3.000000
"upgradeShieldReplenish",400,3.000000
